name,official_name,alpha3Code,capital
El Salvador,Republic of El Salvador,SLV,San Salvador
Macau,Macao Special Administrative Region of the People's Republic of China,MAC,N/A
Andorra,Principality of Andorra,AND,Andorra la Vella
Italy,Italian Republic,ITA,Rome
Namibia,Republic of Namibia,NAM,Windhoek
Seychelles,Republic of Seychelles,SYC,Victoria
Panama,Republic of Panama,PAN,Panama City
Haiti,Republic of Haiti,HTI,Port-au-Prince
Argentina,Argentine Republic,ARG,Buenos Aires
Niger,Republic of Niger,NER,Niamey
Malawi,Republic of Malawi,MWI,Lilongwe
Pitcairn Islands,Pitcairn Group of Islands,PCN,Adamstown
Germany,Federal Republic of Germany,DEU,Berlin
Kiribati,Independent and Sovereign Republic of Kiribati,KIR,South Tarawa
Syria,Syrian Arab Republic,SYR,Damascus
Marshall Islands,Republic of the Marshall Islands,MHL,Majuro
Hungary,Hungary,HUN,Budapest
Cayman Islands,Cayman Islands,CYM,George Town
Denmark,Kingdom of Denmark,DNK,Copenhagen
Saint Lucia,Saint Lucia,LCA,Castries
Bolivia,Plurinational State of Bolivia,BOL,Sucre
Djibouti,Republic of Djibouti,DJI,Djibouti
South Africa,Republic of South Africa,ZAF,Pretoria
Nigeria,Federal Republic of Nigeria,NGA,Abuja
São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe,STP,São Tomé
Nicaragua,Republic of Nicaragua,NIC,Managua
Guadeloupe,Guadeloupe,GLP,Basse-Terre
Saint Pierre and Miquelon,Saint Pierre and Miquelon,SPM,Saint-Pierre
Ecuador,Republic of Ecuador,ECU,Quito
Greenland,Greenland,GRL,Nuuk
Grenada,Grenada,GRD,St. George's
Bahamas,Commonwealth of the Bahamas,BHS,Nassau
Chile,Republic of Chile,CHL,Santiago
Malaysia,Malaysia,MYS,Kuala Lumpur
Tuvalu,Tuvalu,TUV,Funafuti
Christmas Island,Territory of Christmas Island,CXR,Flying Fish Cove
Solomon Islands,Solomon Islands,SLB,Honiara
Tanzania,United Republic of Tanzania,TZA,Dodoma
North Korea,Democratic People's Republic of Korea,PRK,Pyongyang
Guinea-Bissau,Republic of Guinea-Bissau,GNB,Bissau
Kosovo,Republic of Kosovo,UNK,Pristina
Vatican City,Vatican City State,VAT,Vatican City
Norway,Kingdom of Norway,NOR,Oslo
Palestine,State of Palestine,PSE,Ramallah
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,CCK,West Island
Jamaica,Jamaica,JAM,Kingston
Egypt,Arab Republic of Egypt,EGY,Cairo
Cambodia,Kingdom of Cambodia,KHM,Phnom Penh
Mauritius,Republic of Mauritius,MUS,Port Louis
Gambia,Republic of the Gambia,GMB,Banjul
Equatorial Guinea,Republic of Equatorial Guinea,GNQ,Malabo
Lesotho,Kingdom of Lesotho,LSO,Maseru
Martinique,Martinique,MTQ,Fort-de-France
United States,United States of America,USA,"Washington, D.C."
Western Sahara,Sahrawi Arab Democratic Republic,ESH,El Aaiún
United Arab Emirates,United Arab Emirates,ARE,Abu Dhabi
Mozambique,Republic of Mozambique,MOZ,Maputo
Algeria,People's Democratic Republic of Algeria,DZA,Algiers
Zambia,Republic of Zambia,ZMB,Lusaka
Guatemala,Republic of Guatemala,GTM,Guatemala City
South Korea,Republic of Korea,KOR,Seoul
Kyrgyzstan,Kyrgyz Republic,KGZ,Bishkek
Timor-Leste,Democratic Republic of Timor-Leste,TLS,Dili
Åland Islands,Åland Islands,ALA,Mariehamn
Jordan,Hashemite Kingdom of Jordan,JOR,Amman
Malta,Republic of Malta,MLT,Valletta
Cyprus,Republic of Cyprus,CYP,Nicosia
Falkland Islands,Falkland Islands,FLK,Stanley
Kazakhstan,Republic of Kazakhstan,KAZ,Nur-Sultan
Botswana,Republic of Botswana,BWA,Gaborone
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,Kingstown
Barbados,Barbados,BRB,Bridgetown
Tonga,Kingdom of Tonga,TON,Nuku'alofa
Thailand,Kingdom of Thailand,THA,Bangkok
Belgium,Kingdom of Belgium,BEL,Brussels
Canada,Canada,CAN,Ottawa
Georgia,Georgia,GEO,Tbilisi
Wallis and Futuna,Territory of the Wallis and Futuna Islands,WLF,Mata-Utu
Fiji,Republic of Fiji,FJI,Suva
Netherlands,Kingdom of the Netherlands,NLD,Amsterdam
Armenia,Republic of Armenia,ARM,Yerevan
Dominican Republic,Dominican Republic,DOM,Santo Domingo
Guernsey,Bailiwick of Guernsey,GGY,St. Peter Port
Turkmenistan,Turkmenistan,TKM,Ashgabat
Nepal,Federal Democratic Republic of Nepal,NPL,Kathmandu
Maldives,Republic of the Maldives,MDV,Malé
Libya,State of Libya,LBY,Tripoli
Brazil,Federative Republic of Brazil,BRA,Brasília
